"Anio","Cve_estado","Estado","Tipo_delito","Casos"
"2017",1,"Aguascalientes","Lesiones",4252
"2017",1,"Aguascalientes","Narcomenudeo",842
"2017",1,"Aguascalientes","Otros delitos contra el patrimonio",0
"2017",1,"Aguascalientes","Otros delitos contra la familia",34
"2017",1,"Aguascalientes","Otros delitos contra la sociedad",16
"2017",1,"Aguascalientes","Otros delitos del Fuero Comun",2093
"2017",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",156
"2017",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",283
"2017",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",19
"2017",1,"Aguascalientes","Rapto",0
"2017",1,"Aguascalientes","Robo",15205
"2017",1,"Aguascalientes","Secuestro",6
"2017",1,"Aguascalientes","Trafico de menores",2
"2017",1,"Aguascalientes","Trata de personas",1
"2017",1,"Aguascalientes","Violacion equiparada",63
"2017",1,"Aguascalientes","Violacion simple",161
"2017",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",6
"2017",1,"Aguascalientes","Violencia familiar",1102
"2018",1,"Aguascalientes","Aborto",7
"2018",1,"Aguascalientes","Abuso de confianza",777
"2018",1,"Aguascalientes","Abuso sexual",0
"2018",1,"Aguascalientes","Acoso sexual",0
"2018",1,"Aguascalientes","Allanamiento de morada",460
"2018",1,"Aguascalientes","Amenazas",3018
"2018",1,"Aguascalientes","Contra el medio ambiente",13
"2018",1,"Aguascalientes","Corrupcion de menores",72
"2018",1,"Aguascalientes","Daño a la propiedad",4244
"2018",1,"Aguascalientes","Delitos cometidos por servidores publicos",56
"2018",1,"Aguascalientes","Despojo",323
"2018",1,"Aguascalientes","Electorales",28
"2018",1,"Aguascalientes","Evasion de presos",1
"2018",1,"Aguascalientes","Extorsion",138
"2018",1,"Aguascalientes","Falsedad",58
"2018",1,"Aguascalientes","Falsificacion",450
"2018",1,"Aguascalientes","Feminicidio",4
"2018",1,"Aguascalientes","Fraude",1417
"2018",1,"Aguascalientes","Homicidio",283
"2018",1,"Aguascalientes","Hostigamiento sexual",82
"2018",1,"Aguascalientes","Incesto",0
